LR,gamma,batch_size,runtime,cutoffpenaltyscalar,rg_prob,turnspc,trialv
0.0001,0.999,64,41400,1,0.01,0.6,rg
0.0001,0.999,128,41400,1,0.01,0.6,rg
0.0001,0.999,256,41400,1,0.01,0.6,rg
0.00001,0.999,64,41400,1,0.01,0.6,rg
0.00001,0.999,128,41400,1,0.01,0.6,rg
0.00001,0.999,256,41400,1,0.01,0.6,rg
0.0001,0.99,64,41400,1,0.01,0.6,rg
0.0001,0.99,128,41400,1,0.01,0.6,rg
0.0001,0.99,256,41400,1,0.01,0.6,rg
0.00001,0.99,64,41400,1,0.01,0.6,rg
0.00001,0.99,128,41400,1,0.01,0.6,rg
0.00001,0.99,256,41400,1,0.01,0.6,rg
