x,y,z,policyname,LR,gamma,batch_size,runtime,turnspc,trialv,ncpu,deterministic
20,20,6,MlpPolicy,0.01,0.99,N/A,25200,0.05,dqn005,1,FALSE
20,20,6,MlpPolicy,0.01,0.99,N/A,25200,0.1,dqn01,1,FALSE
20,20,6,MlpPolicy,0.01,0.99,N/A,25200,0.2,dqn02,1,FALSE
20,20,6,MlpPolicy,0.00001,0.99,N/A,25200,0.2,dqn02,1,FALSE
20,20,6,MlpPolicy,0.0001,0.99,N/A,25200,0.05,dqn005,1,FALSE
20,20,6,MlpPolicy,0.00001,0.99,N/A,25200,0.05,dqn005,1,FALSE
20,20,6,MlpPolicy,0.0001,0.99,N/A,25200,0.1,dqn01,1,FALSE
20,20,6,MlpPolicy,0.00001,0.99,N/A,25200,0.1,dqn01,1,FALSE
20,20,6,MlpPolicy,0.0001,0.99,N/A,25200,0.2,dqn02,1,FALSE
20,20,6,MlpPolicy,0.00001,0.99,N/A,25200,0.2,dqn02,1,FALSE
20,20,6,MlpPolicy,0.01,0.99,N/A,25200,0.2,dqn02,1,TRUE
20,20,6,MlpPolicy,0.0001,0.99,N/A,25200,0.2,dqn02,1,TRUE
20,20,6,MlpPolicy,0.00001,0.99,N/A,25200,0.2,dqn02,1,TRUE
